City,lat,lon
Ahmedabad,23.0215374,72.5800568
Aizawl,23.7433532,92.7382756
Amaravati,16.5096679,80.5184535
Amritsar,31.6356659,74.8787496
Bengaluru,12.9767936,77.590082
Bhopal,23.2584857,77.401989
Brajrajnagar,21.8498594,83.9254698
Chandigarh,30.7334421,76.7797143
Chennai,13.0836939,80.270186
Coimbatore,11.0018115,76.9628425
Delhi,28.6328027,77.2197713
Ernakulam,9.9837257,76.2740001
Gurugram,28.4646148,77.0299194
Guwahati,26.1805978,91.753943
Hyderabad,17.360589,78.4740613
Jaipur,26.9154576,75.8189817
Jorapokhar,23.7167069,86.4110166
Kochi,9.9679032,76.2444378
Kolkata,22.5726459,88.3638953
Lucknow,26.8381,80.9346001
Mumbai,19.054999,72.8692035
Patna,25.6093239,85.1235252
Shillong,25.5759931,91.8827872
Talcher,20.9322302,85.2005822
Thiruvananthapuram,8.4882267,76.947551
Visakhapatnam,17.6935526,83.2921297
